D0,2.06E+03,1.92E+03,1.92E+03,9.34E+02,9.31E+02,9.56E+02,,,,2.22E+03,1.86E+03,1.90E+03,9.22E+02,9.05E+02,9.98E+02,,,,2.00E+03,1.82E+03,1.72E+03,9.82E+02,9.43E+02,8.81E+02,,,,1.85E+03,1.83E+03,1.81E+03,8.93E+02,8.77E+02,8.89E+02,,,,1.85E+03,1.75E+03,1.81E+03,9.73E+02,8.81E+02,8.91E+02,,,,1.69E+03,1.83E+03,1.68E+03,8.73E+02,8.57E+02,9.21E+02,,,,1.97E+03,1.90E+03,1.85E+03,8.82E+02,8.58E+02,9.12E+02,,,,1.74E+03,1.70E+03,1.85E+03,9.36E+02,1.13E+03,9.76E+02,,,
D4,2.87E+03,2.35E+03,2.54E+03,1.79E+03,1.67E+03,1.80E+03,,,,2.18E+03,2.11E+03,2.18E+03,1.43E+03,1.31E+03,1.44E+03,,,,2.50E+03,2.71E+03,2.45E+03,1.91E+03,1.85E+03,1.52E+03,,,,2.45E+03,2.56E+03,2.51E+03,1.71E+03,1.62E+03,1.66E+03,,,,2.48E+03,2.34E+03,2.47E+03,1.78E+03,1.55E+03,1.56E+03,,,,1.97E+03,1.98E+03,2.06E+03,1.36E+03,1.28E+03,1.24E+03,,,,2.26E+03,2.08E+03,1.94E+03,1.18E+03,1.19E+03,1.27E+03,,,,2.01E+03,1.95E+03,1.96E+03,1.38E+03,1.17E+03,1.18E+03,,,
D7,5.33E+03,4.51E+03,4.45E+03,4.46E+03,4.34E+03,4.68E+03,,,,2.44E+03,2.64E+03,2.67E+03,2.49E+03,2.29E+03,2.59E+03,,,,5.36E+03,5.84E+03,4.95E+03,5.39E+03,5.31E+03,4.36E+03,,,,4.90E+03,5.02E+03,5.11E+03,4.77E+03,4.16E+03,4.96E+03,,,,5.06E+03,4.85E+03,4.83E+03,4.78E+03,4.51E+03,4.32E+03,,,,2.35E+03,2.14E+03,2.28E+03,2.67E+03,2.39E+03,2.30E+03,,,,2.69E+03,2.81E+03,2.31E+03,1.98E+03,2.20E+03,2.38E+03,,,,2.70E+03,2.53E+03,2.49E+03,2.51E+03,2.18E+03,1.99E+03,,,
D11,2.00E+04,1.65E+04,1.61E+04,2.04E+04,1.92E+04,2.15E+04,,,,2.94E+03,3.46E+03,3.58E+03,7.72E+03,7.34E+03,8.58E+03,,,,2.67E+04,3.01E+04,2.61E+04,2.63E+04,2.76E+04,2.33E+04,,,,2.55E+04,2.44E+04,2.41E+04,2.52E+04,2.32E+04,2.46E+04,,,,2.58E+04,2.41E+04,2.44E+04,2.48E+04,2.42E+04,2.28E+04,,,,2.50E+03,2.05E+03,3.21E+03,7.80E+03,8.20E+03,6.34E+03,,,,3.08E+03,3.22E+03,2.81E+03,6.08E+03,5.74E+03,7.45E+03,,,,3.27E+03,3.33E+03,3.85E+03,7.91E+03,7.83E+03,7.06E+03,,,
D14,1.23E+05,1.05E+05,1.09E+05,1.01E+05,9.38E+04,1.07E+05,,,,1.24E+04,1.92E+04,2.27E+04,3.04E+04,3.43E+04,3.79E+04,,,,1.26E+05,1.29E+05,1.21E+05,1.09E+05,1.08E+05,1.02E+05,,,,1.24E+05,1.17E+05,1.19E+05,1.05E+05,1.04E+05,1.03E+05,,,,1.35E+05,1.20E+05,1.26E+05,1.02E+05,1.01E+05,1.05E+05,,,,1.21E+04,7.33E+03,3.08E+04,3.48E+04,3.28E+04,3.13E+04,,,,1.13E+04,1.47E+04,1.51E+04,2.91E+04,2.59E+04,3.29E+04,,,,2.21E+04,2.29E+04,2.85E+04,3.65E+04,3.72E+04,3.73E+04,,,
D18,1.63E+05,1.64E+05,1.54E+05,1.33E+05,1.25E+05,1.37E+05,,,,3.31E+04,4.12E+04,4.55E+04,4.09E+04,4.82E+04,5.05E+04,,,,1.57E+05,1.52E+05,1.51E+05,1.08E+05,1.26E+05,1.23E+05,,,,1.55E+05,1.38E+05,1.49E+05,1.22E+05,1.21E+05,1.28E+05,,,,1.59E+05,1.52E+05,1.53E+05,1.20E+05,1.17E+05,1.29E+05,,,,2.89E+04,2.16E+04,5.59E+04,4.99E+04,4.39E+04,4.11E+04,,,,2.32E+04,3.24E+04,3.62E+04,4.09E+04,3.63E+04,4.43E+04,,,,4.24E+04,4.27E+04,5.03E+04,5.21E+04,5.29E+04,5.30E+04,,,
