,Time,A2,A3,A4,A5,A6,A7,A8,A9,A10,B2,B3,B4,B5,B6,B7,B8,B9,B10,C2,C3,C4,C5,C6,C7,C8,C9,C10,D2,D3,D4,D5,D6,D7,D8,D9,D10,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10,H2,H3,H4,H5,H6,H7,H8,H9,H10
D0,0:00:00,2.87E+05,2.96E+05,2.75E+05,3.12E+05,3.14E+05,2.97E+05,3.42E+05,3.73E+05,3.26E+05,2.88E+05,2.99E+05,2.95E+05,3.13E+05,3.03E+05,2.95E+05,3.28E+05,3.56E+05,3.60E+05,2.83E+05,3.00E+05,3.09E+05,2.87E+05,3.39E+05,3.24E+05,3.39E+05,3.53E+05,3.62E+05,2.88E+05,2.91E+05,2.83E+05,2.99E+05,3.70E+05,3.03E+05,3.21E+05,3.32E+05,3.58E+05,3.02E+05,2.87E+05,3.09E+05,3.27E+05,3.31E+05,3.26E+05,3.72E+05,3.42E+07,3.34E+05,2.72E+05,3.14E+05,3.00E+05,3.05E+05,3.28E+05,2.80E+05,3.74E+05,3.43E+05,3.35E+05,2.99E+05,2.75E+05,2.85E+05,2.92E+05,2.93E+05,3.19E+05,3.67E+05,3.15E+05,3.20E+05,2.95E+05,2.74E+05,2.62E+05,3.02E+05,2.52E+05,3.01E+05,3.35E+05,3.21E+05,3.19E+05
D4,73:54:41,4.32E+05,4.72E+05,4.17E+05,4.29E+05,4.32E+05,3.97E+05,3.72E+05,4.09E+05,3.53E+05,3.43E+05,3.71E+05,3.33E+05,3.87E+05,3.56E+05,3.47E+05,3.57E+05,3.57E+05,3.34E+05,3.91E+05,3.60E+05,3.97E+05,4.33E+05,4.48E+05,4.18E+05,3.42E+05,3.70E+05,3.88E+05,3.21E+05,3.52E+05,3.22E+05,3.65E+05,4.32E+05,4.03E+05,3.55E+05,3.48E+05,3.39E+05,3.54E+05,3.22E+05,3.32E+05,3.91E+05,4.01E+05,3.98E+05,3.38E+05,3.58E+05,3.47E+05,3.13E+05,2.92E+05,3.35E+05,3.61E+05,3.81E+05,3.32E+05,3.96E+05,3.18E+05,2.85E+05,3.10E+05,3.08E+05,2.87E+05,2.94E+05,3.31E+05,3.46E+05,3.28E+05,3.28E+05,3.15E+05,3.05E+05,2.92E+05,2.55E+05,2.91E+05,2.66E+05,3.11E+05,2.78E+05,2.94E+05,2.84E+05
D7,167:25:50,1.01E+06,1.01E+06,9.83E+05,1.13E+06,1.12E+06,1.07E+06,7.56E+05,8.30E+05,7.42E+05,4.32E+05,4.50E+05,4.37E+05,7.25E+05,7.13E+05,6.81E+05,6.44E+05,7.40E+05,6.20E+05,5.35E+05,5.07E+05,5.62E+05,1.04E+06,1.05E+06,9.79E+05,7.19E+05,7.26E+05,6.86E+05,3.63E+05,3.64E+05,3.56E+05,7.03E+05,8.42E+05,7.93E+05,6.70E+05,6.56E+05,6.62E+05,3.69E+05,3.33E+05,3.39E+05,5.54E+05,5.32E+05,5.46E+05,4.83E+05,4.87E+05,5.39E+05,2.80E+05,2.75E+05,2.74E+05,5.93E+05,6.21E+05,5.46E+05,5.32E+05,5.58E+05,5.83E+05,2.58E+05,2.38E+05,2.44E+05,4.26E+05,4.58E+05,4.53E+05,5.08E+05,5.37E+05,4.72E+05,2.68E+05,2.56E+05,2.40E+05,2.87E+05,2.95E+05,3.16E+05,3.51E+05,3.17E+05,3.94E+05
D11,236:19:37,1.97E+06,1.95E+06,1.95E+06,2.04E+06,2.06E+06,2.05E+06,1.37E+06,1.42E+06,1.29E+06,4.23E+05,4.61E+05,5.00E+05,1.08E+06,1.10E+06,1.08E+06,1.03E+06,1.17E+06,1.02E+06,7.42E+05,6.63E+05,8.29E+05,1.94E+06,2.00E+06,1.84E+06,1.21E+06,1.21E+06,1.20E+06,3.85E+05,4.02E+05,3.58E+05,1.16E+06,1.40E+06,1.38E+06,9.63E+05,9.43E+05,9.86E+05,3.45E+05,3.12E+05,3.42E+05,6.94E+05,6.80E+05,7.44E+05,5.83E+05,6.47E+05,6.51E+05,2.68E+05,2.08E+05,2.28E+05,8.00E+05,8.11E+05,7.15E+05,7.70E+05,8.36E+05,9.03E+05,2.47E+05,2.12E+05,1.97E+05,4.72E+05,4.43E+05,4.58E+05,6.92E+05,6.56E+05,6.36E+05,2.23E+05,2.03E+05,2.08E+05,2.84E+05,2.19E+05,2.89E+05,3.66E+05,3.79E+05,3.74E+05
D14,334:37:03,3.24E+06,3.15E+06,3.18E+06,3.18E+06,3.16E+06,3.29E+06,2.67E+06,2.70E+06,2.45E+06,4.29E+05,3.95E+05,4.56E+05,1.63E+06,1.65E+06,1.70E+06,1.85E+06,2.10E+06,1.79E+06,1.35E+06,1.15E+06,1.49E+06,3.11E+06,3.12E+06,3.01E+06,2.30E+06,2.22E+06,2.35E+06,4.17E+05,4.53E+05,3.60E+05,1.85E+06,2.26E+06,2.34E+06,1.75E+06,1.74E+06,1.91E+06,3.44E+05,2.97E+05,3.33E+05,1.08E+06,1.09E+06,1.22E+06,7.86E+05,8.53E+05,8.56E+05,2.02E+05,1.66E+05,2.00E+05,1.28E+06,1.18E+06,1.12E+06,1.33E+06,1.50E+06,1.48E+06,2.15E+05,1.66E+05,1.71E+05,5.11E+05,4.82E+05,5.20E+05,1.07E+06,9.73E+05,9.74E+05,1.89E+05,1.60E+05,1.71E+05,2.23E+05,1.80E+05,2.68E+05,4.23E+05,4.02E+05,4.18E+05
D18,408:50:32,3.97E+06,3.79E+06,3.94E+06,3.67E+06,3.71E+06,3.76E+06,3.34E+06,3.38E+06,3.12E+06,3.58E+05,4.52E+05,4.86E+05,1.91E+06,2.02E+06,2.04E+06,2.41E+06,2.56E+06,2.33E+06,2.18E+06,1.87E+06,2.29E+06,3.52E+06,3.58E+06,3.31E+06,2.97E+06,2.89E+06,2.96E+06,5.12E+05,6.24E+05,4.64E+05,2.47E+06,2.90E+06,2.95E+06,2.41E+06,2.51E+06,2.71E+06,3.50E+05,3.01E+05,3.36E+05,1.50E+06,1.58E+06,1.77E+06,1.10E+06,1.25E+06,1.25E+06,1.84E+05,1.81E+05,1.52E+05,1.71E+06,1.54E+06,1.56E+06,1.84E+06,2.00E+06,2.02E+06,1.97E+05,1.35E+05,1.37E+05,6.29E+05,5.97E+05,5.92E+05,1.58E+06,1.30E+06,1.50E+06,1.60E+05,1.45E+05,1.39E+05,2.31E+05,1.44E+05,2.55E+05,4.78E+05,4.27E+05,4.21E+05
