,Time,A2,A3,A4,A5,A6,A7,A8,A9,A10,B2,B3,B4,B5,B6,B7,B8,B9,B10,C2,C3,C4,C5,C6,C7,C8,C9,C10,D2,D3,D4,D5,D6,D7,D8,D9,D10,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10,H2,H3,H4,H5,H6,H7,H8,H9,H10
D0,0:00:00,2.48E+05,2.43E+05,2.56E+05,2.71E+05,2.71E+05,2.63E+05,2.84E+05,2.67E+05,2.73E+05,2.73E+05,2.64E+05,2.63E+05,2.91E+05,2.85E+05,2.70E+05,2.65E+05,2.75E+05,2.80E+05,2.47E+05,2.64E+05,2.52E+05,2.75E+05,2.85E+05,2.49E+05,2.68E+05,2.78E+05,2.46E+05,2.64E+05,2.56E+05,2.73E+05,2.63E+05,2.73E+05,2.77E+05,2.63E+05,2.66E+05,2.72E+05,2.95E+05,2.72E+05,2.43E+05,2.65E+05,2.66E+05,2.89E+05,2.69E+05,2.69E+05,2.74E+05,2.68E+05,2.50E+05,2.45E+05,2.67E+05,2.83E+05,2.82E+05,2.62E+05,2.75E+05,2.77E+05,2.54E+05,2.39E+05,2.54E+05,2.75E+05,2.62E+05,2.66E+05,2.64E+05,2.84E+05,2.66E+05,2.50E+05,1.81E+05,1.82E+05,2.74E+05,2.76E+05,2.84E+05,2.84E+05,2.68E+05,1.39E+05
D4,93:15:22,4.49E+05,4.13E+05,4.25E+05,5.20E+05,5.00E+05,5.14E+05,5.22E+05,4.83E+05,4.78E+05,3.70E+05,3.77E+05,3.57E+05,4.47E+05,4.83E+05,4.38E+05,4.44E+05,4.70E+05,4.86E+05,3.87E+05,4.05E+05,3.86E+05,4.60E+05,4.54E+05,4.07E+05,4.63E+05,4.44E+05,4.31E+05,3.70E+05,3.76E+05,4.11E+05,4.10E+05,4.43E+05,4.30E+05,3.98E+05,4.25E+05,4.54E+05,2.90E+05,2.94E+05,2.86E+05,3.12E+05,3.23E+05,3.26E+05,3.29E+05,3.38E+05,2.96E+05,3.29E+05,3.48E+05,3.24E+05,4.05E+05,3.82E+05,3.80E+05,4.08E+05,4.22E+05,4.11E+05,3.44E+05,3.19E+05,3.47E+05,3.95E+05,3.80E+05,3.89E+05,4.07E+05,4.06E+05,3.77E+05,2.61E+05,1.86E+05,1.93E+05,3.11E+05,3.16E+05,2.94E+05,3.14E+05,2.94E+05,3.04E+05
D7,193:19:14,1.05E+06,1.05E+06,1.04E+06,1.41E+06,1.31E+06,1.33E+06,1.22E+06,1.17E+06,1.17E+06,5.81E+05,5.54E+05,5.76E+05,9.60E+05,1.04E+06,9.65E+05,9.80E+05,1.09E+06,1.11E+06,5.60E+05,5.71E+05,5.70E+05,5.82E+05,6.32E+05,5.90E+05,5.82E+05,5.92E+05,6.09E+05,5.76E+05,5.81E+05,5.92E+05,5.91E+05,6.33E+05,6.18E+05,5.69E+05,6.05E+05,6.05E+05,2.73E+05,4.13E+05,2.51E+05,3.61E+05,2.01E+05,3.09E+05,4.36E+05,3.81E+05,0,2.45E+05,2.99E+05,2.88E+05,4.24E+05,4.25E+05,4.42E+05,5.12E+05,5.42E+05,5.26E+05,2.83E+05,2.61E+05,2.78E+05,4.41E+05,3.94E+05,4.19E+05,5.22E+05,4.94E+05,4.67E+05,2.47E+05,1.96E+05,1.35E+05,0,2.75E+05,3.17E+05,2.29E+05,1.68E+05,1.67E+05
D11,260:41:07,1.90E+06,1.95E+06,1.95E+06,2.50E+06,2.27E+06,2.31E+06,2.11E+06,2.01E+06,2.04E+06,5.84E+05,6.26E+05,6.04E+05,1.51E+06,1.59E+06,1.52E+06,1.64E+06,1.81E+06,1.79E+06,7.21E+05,7.10E+05,7.19E+05,7.24E+05,8.27E+05,7.94E+05,6.52E+05,6.81E+05,7.28E+05,7.23E+05,7.42E+05,7.68E+05,7.06E+05,7.30E+05,7.49E+05,6.68E+05,7.17E+05,7.24E+05,3.30E+05,4.53E+05,2.73E+05,3.86E+05,4.41E+05,2.85E+05,4.38E+05,4.03E+05,5.25E+05,2.25E+05,2.63E+05,2.23E+05,3.97E+05,4.06E+05,4.31E+05,5.78E+05,5.90E+05,5.79E+05,2.70E+05,2.39E+05,2.52E+05,4.24E+05,3.64E+05,4.13E+05,5.69E+05,5.21E+05,5.21E+05,1.78E+05,3.12E+05,2.30E+05,2.95E+05,3.27E+05,3.29E+05,2.96E+05,1.87E+05,2.68E+05
D14,331:51:56,3.07E+06,3.14E+06,3.10E+06,3.58E+06,3.31E+06,3.43E+06,3.20E+06,2.99E+06,3.09E+06,6.90E+05,8.09E+05,7.45E+05,2.32E+06,2.29E+06,2.30E+06,2.43E+06,2.66E+06,2.59E+06,9.97E+05,9.56E+05,9.68E+05,9.43E+05,1.06E+06,1.01E+06,7.31E+05,7.76E+05,7.92E+05,8.92E+05,9.17E+05,9.66E+05,8.75E+05,8.39E+05,9.36E+05,7.13E+05,8.14E+05,7.47E+05,3.12E+05,4.39E+05,2.45E+05,4.30E+05,4.70E+05,3.07E+05,4.65E+05,4.10E+05,2.94E+05,2.00E+05,1.89E+05,1.61E+05,3.09E+05,3.15E+05,3.51E+05,5.47E+05,5.55E+05,5.55E+05,2.39E+05,1.76E+05,1.94E+05,3.25E+05,2.56E+05,2.85E+05,3.61E+05,4.21E+05,3.81E+05,4.38E+05,3.29E+05,2.46E+05,2.53E+05,3.36E+05,4.81E+05,5.48E+05,4.30E+05,3.60E+05
D18,425:54:30,4.17E+06,4.32E+06,4.29E+06,4.52E+06,4.30E+06,4.48E+06,4.05E+06,3.86E+06,4.05E+06,1.15E+06,1.28E+06,1.16E+06,3.16E+06,3.18E+06,3.21E+06,3.29E+06,3.50E+06,3.50E+06,1.33E+06,1.26E+06,1.33E+06,1.31E+06,1.45E+06,1.44E+06,8.88E+05,8.96E+05,9.54E+05,1.15E+06,1.15E+06,1.20E+06,1.20E+06,1.08E+06,1.18E+06,7.56E+05,8.91E+05,8.36E+05,3.81E+05,4.41E+05,2.20E+05,4.61E+05,4.58E+05,2.99E+05,4.46E+05,3.77E+05,5.79E+05,1.40E+05,1.53E+05,1.28E+05,2.49E+05,2.68E+05,2.59E+05,5.35E+05,5.21E+05,5.39E+05,2.08E+05,1.52E+05,1.59E+05,2.21E+05,2.44E+05,2.20E+05,3.83E+05,3.33E+05,2.81E+05,4.66E+05,3.21E+05,4.27E+05,5.54E+05,2.98E+05,3.76E+05,5.40E+05,6.23E+05,5.47E+05
