D0,208000,187000,168000,1.77E+05,151000,178000,154000,189000,194000,187000,206000,201000,686000,667000,700000,662000,677000,631000,696000,686000,653000,696000,673000,710000,230000,228000,237000,191000,189000,236000,203000,214000,202000,190000,171000,231000,326000,268000,250000,288000,273000,318000,274000,316000,284000,258000,289000,300000,634000,632000,644000,671000,605000,573000,645000,639000,656000,584000,619000,590000,737000,681000,650000,612000,677000,613000,637000,678000,655000,717000,648000,613000,526000,575000,544000,461000,525000,652000,507000,539000,483000,518000,474000,502000
D4,257000,243000,224000,207000,160000,196000,157000,188000,180000,167000,232000,204000,1400000,1490000,1400000,1180000,1130000,1110000,1070000,1190000,1150000,1110000,1120000,1100000,319000,317000,323000,240000,217000,272000,251000,207000,193000,214000,215000,237000,572000,456000,413000,363000,356000,440000,323000,395000,350000,304000,358000,382000,1220000,1230000,1190000,1010000,1010000,937000,926000,924000,913000,911000,983000,794000,1430000,1380000,1270000,1130000,1150000,1100000,1100000,1090000,1100000,1070000,1060000,1020000,957000,959000,993000,738000,732000,771000,680000,716000,747000,696000,732000,681000
D7,322000,337000,332000,317000,275000,289000,250000,313000,378000,344000,327000,260000,1860000,1920000,1820000,1360000,1410000,1330000,1290000,1300000,1380000,1320000,1240000,1320000,424000,499000,524000,452000,386000,417000,389000,319000,262000,359000,420000,373000,848000,654000,588000,547000,534000,601000,421000,511000,477000,423000,518000,543000,1590000,1630000,1580000,1230000,1080000,1120000,1090000,1110000,1090000,1030000,1090000,867000,1850000,1820000,1710000,1340000,1450000,1260000,1250000,1300000,1120000,1240000,1310000,1190000,1290000,1270000,1350000,862000,951000,917000,823000,887000,867000,912000,802000,784000
D11,526000,583000,606000,546000,467000,428000,400000,453000,547000,528000,415000,442000,2480000,2530000,2530000,1760000,1880000,1710000,1720000,1670000,1730000,1600000,1520000,1570000,765000,798000,862000,629000,584000,689000,665000,553000,538000,553000,612000,547000,1190000,1110000,910000,832000,825000,896000,573000,740000,740000,630000,738000,669000,2160000,2190000,2080000,1450000,1460000,1500000,1380000,1430000,1320000,1290000,1290000,1060000,2460000,2540000,2420000,1610000,1810000,1680000,1540000,1640000,1660000,1460000,1430000,1400000,1770000,1870000,1750000,1130000,1210000,1250000,1080000,1100000,1140000,1070000,991000,908000
D14,834000,958000,918000,595000,521000,603000,526000,542000,648000,543000,560000,497000,3010000,2930000,2940000,2040000,2030000,2010000,1820000,1860000,1930000,1620000,1690000,1810000,1120000,1120000,1210000,812000,652000,808000,750000,688000,651000,681000,704000,648000,1610000,1380000,1240000,891000,971000,1090000,704000,795000,869000,772000,913000,808000,2500000,2630000,2440000,1760000,1770000,1660000,1620000,1620000,1410000,1460000,1390000,1210000,2940000,2850000,2710000,2000000,1980000,2050000,1760000,1850000,1880000,1540000,1580000,1560000,2180000,2180000,2140000,1250000,1480000,1560000,1270000,1340000,1390000,1240000,1060000,1010000
D18,1340000,1650000,1470000,698000,625000,722000,538000,651000,714000,520000,567000,513000,3420000,3060000,3310000,2420000,2580000,2520000,2260000,2380000,2220000,1950000,2100000,2110000,1710000,1870000,2060000,956000,853000,907000,876000,793000,785000,790000,770000,728000,2250000,2020000,1830000,1240000,1300000,1400000,1030000,1150000,1140000,962000,1020000,944000,2980000,2960000,3030000,2320000,2300000,2130000,2090000,1980000,1890000,1690000,1680000,1390000,3370000,3200000,3260000,2410000,2460000,2490000,2220000,2390000,2370000,1670000,2030000,1900000,2680000,2610000,2810000,1730000,1940000,1950000,1560000,1700000,1600000,1400000,1250000,1220000
