D0,2.62E+05,2.27E+05,2.57E+05,1.76E+05,1.31E+05,1.84E+05,2.82E+05,3.13E+05,3.25E+05,2.13E+05,2.44E+05,3.18E+05,2.28E+05,2.32E+05,2.22E+05,1.82E+05,2.13E+05,1.60E+05,3.12E+05,2.73E+05,2.69E+05,2.69E+05,2.61E+05,3.25E+05,2.46E+05,2.22E+05,2.53E+05,1.47E+05,1.82E+05,1.69E+05,3.08E+05,2.11E+05,1.69E+05,2.62E+05,2.78E+05,2.39E+05
D4,6.67E+05,6.41E+05,4.91E+05,3.17E+05,3.18E+05,3.26E+05,6.39E+05,7.33E+05,6.70E+05,6.65E+05,4.72E+05,6.67E+05,3.14E+05,3.12E+05,3.01E+05,3.98E+05,3.13E+05,4.32E+05,3.94E+05,4.55E+05,4.24E+05,3.99E+05,4.50E+05,4.53E+05,2.61E+05,2.94E+05,3.36E+05,2.69E+05,3.04E+05,2.74E+05,4.03E+05,3.23E+05,4.42E+05,3.33E+05,3.66E+05,2.82E+05
D7,1.01E+06,8.97E+05,7.70E+05,6.98E+05,7.18E+05,8.69E+05,1.02E+06,1.19E+06,1.03E+06,9.21E+05,7.81E+05,1.07E+06,3.54E+05,3.42E+05,3.56E+05,8.91E+05,7.74E+05,9.00E+05,5.21E+05,5.62E+05,5.70E+05,5.37E+05,5.54E+05,6.26E+05,2.97E+05,3.59E+05,3.67E+05,7.68E+05,6.84E+05,6.30E+05,4.99E+05,3.90E+05,5.26E+05,4.15E+05,4.36E+05,3.90E+05
D11,1.47E+06,1.56E+06,1.12E+06,1.98E+06,1.97E+06,2.32E+06,1.64E+06,1.69E+06,1.72E+06,1.63E+06,1.25E+06,1.61E+06,4.56E+05,3.96E+05,4.45E+05,1.67E+06,1.49E+06,1.91E+06,8.49E+05,9.35E+05,8.21E+05,8.68E+05,9.21E+05,1.01E+06,3.68E+05,4.11E+05,4.73E+05,1.61E+06,1.41E+06,1.54E+06,7.32E+05,5.61E+05,7.29E+05,6.47E+05,6.21E+05,6.56E+05
D14,1.97E+06,2.17E+06,1.53E+06,3.41E+06,3.58E+06,3.58E+06,2.04E+06,2.39E+06,2.63E+06,2.55E+06,1.97E+06,2.69E+06,4.95E+05,5.80E+05,5.51E+05,2.88E+06,2.82E+06,2.98E+06,1.59E+06,1.57E+06,1.36E+06,1.67E+06,1.67E+06,2.20E+06,4.16E+05,4.62E+05,6.85E+05,2.66E+06,2.57E+06,2.64E+06,1.37E+06,1.05E+06,1.49E+06,1.41E+06,1.02E+06,1.12E+06
D18,2.31E+06,2.60E+06,2.19E+06,4.29E+06,4.15E+06,4.25E+06,2.69E+06,3.11E+06,3.36E+06,3.04E+06,2.60E+06,3.54E+06,6.18E+05,7.09E+05,7.17E+05,3.87E+06,3.60E+06,3.81E+06,2.37E+06,2.32E+06,2.17E+06,2.36E+06,2.66E+06,3.03E+06,5.35E+05,5.45E+05,6.60E+05,3.48E+06,3.45E+06,3.37E+06,1.93E+06,2.04E+06,2.26E+06,2.20E+06,1.65E+06,1.55E+06
