,Time,A2,A3,A4,A5,A6,A7,A8,A9,A10,B2,B3,B4,B5,B6,B7,B8,B9,B10,C2,C3,C4,C5,C6,C7,C8,C9,C10,D2,D3,D4,D5,D6,D7,D8,D9,D10,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10,H2,H3,H4,H5,H6,H7,H8,H9,H10
D0,0:00:00,2.76E+05,2.58E+05,2.75E+05,2.60E+05,3.36E+05,3.00E+05,2.92E+05,2.67E+05,2.69E+05,2.64E+05,2.49E+05,2.58E+05,2.88E+05,2.88E+05,2.89E+05,2.82E+05,2.86E+05,3.01E+05,2.66E+05,2.78E+05,2.41E+05,2.83E+05,3.09E+05,3.14E+05,2.79E+05,3.13E+05,2.64E+05,2.53E+05,2.55E+05,2.72E+05,2.85E+05,2.96E+05,2.95E+05,2.85E+05,2.78E+05,2.92E+05,2.61E+05,2.43E+05,2.58E+05,2.91E+05,3.26E+05,3.07E+05,2.75E+05,2.70E+05,2.52E+05,2.37E+05,2.45E+05,2.55E+05,2.95E+05,2.89E+05,2.73E+05,2.98E+05,2.57E+05,2.52E+05,2.36E+05,2.51E+05,2.33E+05,2.77E+05,2.54E+05,2.78E+05,2.89E+05,3.03E+05,2.66E+05,2.41E+05,2.47E+05,2.38E+05,2.64E+05,2.62E+05,2.77E+05,2.87E+05,2.63E+05,2.72E+05
D4,94:12:02,4.31E+05,3.68E+05,3.82E+05,4.21E+05,4.83E+05,4.34E+05,3.44E+05,3.22E+05,3.17E+05,3.04E+05,3.09E+05,3.13E+05,4.04E+05,3.99E+05,4.21E+05,3.49E+05,3.04E+05,3.56E+05,3.60E+05,3.85E+05,3.67E+05,4.32E+05,4.43E+05,4.44E+05,3.07E+05,3.57E+05,2.95E+05,3.18E+05,3.43E+05,3.31E+05,4.04E+05,4.05E+05,4.19E+05,3.26E+05,3.39E+05,2.89E+05,2.93E+05,3.05E+05,3.18E+05,3.50E+05,2.83E+05,3.74E+05,2.64E+05,2.78E+05,2.91E+05,3.30E+05,3.23E+05,3.43E+05,4.25E+05,3.94E+05,3.89E+05,3.07E+05,3.22E+05,2.91E+05,3.21E+05,3.03E+05,3.08E+05,3.86E+05,3.45E+05,3.88E+05,3.11E+05,3.08E+05,3.25E+05,3.08E+05,3.50E+05,3.01E+05,3.38E+05,3.26E+05,3.26E+05,2.95E+05,3.00E+05,2.80E+05
D7,166:37:54,7.54E+05,6.99E+05,6.96E+05,8.43E+05,9.03E+05,8.59E+05,4.92E+05,4.94E+05,4.87E+05,3.96E+05,3.97E+05,4.00E+05,6.94E+05,7.08E+05,7.32E+05,5.83E+05,5.77E+05,5.67E+05,6.54E+05,6.58E+05,6.31E+05,8.74E+05,8.49E+05,9.38E+05,5.19E+05,5.40E+05,4.65E+05,4.84E+05,4.95E+05,4.76E+05,7.54E+05,7.01E+05,6.78E+05,5.14E+05,5.38E+05,5.05E+05,4.05E+05,4.22E+05,4.53E+05,5.12E+05,4.26E+05,5.17E+05,3.76E+05,3.08E+05,4.04E+05,4.57E+05,4.68E+05,5.17E+05,8.34E+05,7.22E+05,7.16E+05,4.84E+05,5.01E+05,5.05E+05,3.90E+05,3.89E+05,3.82E+05,5.58E+05,5.37E+05,5.73E+05,4.50E+05,4.41E+05,4.45E+05,3.58E+05,3.51E+05,3.85E+05,3.95E+05,3.87E+05,3.70E+05,3.86E+05,3.53E+05,3.28E+05
D11,272:41:30,2.15E+06,2.13E+06,2.04E+06,2.29E+06,2.36E+06,2.31E+06,1.12E+06,1.14E+06,1.14E+06,6.64E+05,8.18E+05,6.58E+05,1.58E+06,1.59E+06,1.70E+06,1.28E+06,1.29E+06,1.31E+06,1.88E+06,1.82E+06,1.62E+06,2.16E+06,2.23E+06,2.37E+06,1.24E+06,1.27E+06,1.18E+06,9.39E+05,1.02E+06,9.84E+05,1.80E+06,1.64E+06,1.63E+06,1.09E+06,1.09E+06,1.05E+06,7.53E+05,7.80E+05,7.76E+05,9.23E+05,7.79E+05,9.49E+05,4.65E+05,4.60E+05,4.67E+05,7.94E+05,8.04E+05,9.18E+05,1.78E+06,1.64E+06,1.68E+06,1.07E+06,1.14E+06,1.15E+06,4.25E+05,3.98E+05,3.92E+05,9.47E+05,7.83E+05,9.74E+05,7.94E+05,7.72E+05,8.04E+05,3.19E+05,3.25E+05,3.63E+05,4.26E+05,4.08E+05,3.76E+05,3.97E+05,3.48E+05,2.97E+05
D14,343:41:25,3.26E+06,3.14E+06,3.03E+06,3.28E+06,3.27E+06,3.31E+06,1.90E+06,1.94E+06,1.92E+06,1.16E+06,1.43E+06,1.16E+06,2.27E+06,2.30E+06,2.38E+06,1.96E+06,1.98E+06,2.02E+06,2.90E+06,2.82E+06,2.56E+06,3.08E+06,3.13E+06,3.15E+06,2.09E+06,2.09E+06,2.01E+06,1.56E+06,1.39E+06,1.40E+06,2.68E+06,2.50E+06,2.48E+06,1.81E+06,1.72E+06,1.75E+06,1.01E+06,1.15E+06,1.15E+06,1.41E+06,1.27E+06,1.39E+06,5.34E+05,5.72E+05,5.70E+05,7.64E+05,1.08E+06,1.45E+06,2.53E+06,2.34E+06,2.36E+06,1.73E+06,1.83E+06,1.84E+06,3.90E+05,3.84E+05,4.35E+05,1.37E+06,8.98E+05,1.46E+06,1.20E+06,1.22E+06,1.24E+06,2.99E+05,2.99E+05,3.38E+05,4.45E+05,4.29E+05,4.35E+05,4.00E+05,3.86E+05,3.71E+05
D18,435:51:29,4.31E+06,4.25E+06,4.20E+06,4.28E+06,4.19E+06,4.29E+06,2.96E+06,2.96E+06,3.01E+06,2.18E+06,2.44E+06,2.17E+06,3.05E+06,2.96E+06,3.15E+06,2.71E+06,2.81E+06,2.90E+06,4.07E+06,4.03E+06,3.78E+06,3.95E+06,3.95E+06,4.02E+06,2.98E+06,3.02E+06,3.04E+06,2.47E+06,2.03E+06,2.05E+06,3.77E+06,3.59E+06,3.59E+06,2.76E+06,2.66E+06,2.82E+06,1.48E+06,1.60E+06,1.66E+06,2.04E+06,1.88E+06,2.03E+06,6.66E+05,7.51E+05,7.67E+05,9.23E+05,1.96E+06,2.44E+06,3.23E+06,3.02E+06,2.98E+06,2.50E+06,2.52E+06,2.63E+06,2.85E+05,3.61E+05,3.48E+05,2.25E+06,1.39E+06,2.15E+06,1.97E+06,1.97E+06,1.90E+06,2.05E+05,2.13E+05,2.69E+05,4.39E+05,3.53E+05,4.27E+05,3.52E+05,3.96E+05,4.00E+05
D21,0:00:00,4.80E+06,4.65E+06,4.72E+06,4.72E+06,4.54E+06,4.70E+06,3.65E+06,3.67E+06,3.69E+06,2.74E+06,2.98E+06,2.65E+06,3.35E+06,3.38E+06,3.51E+06,3.22E+06,3.30E+06,3.31E+06,4.56E+06,4.58E+06,4.38E+06,4.47E+06,4.20E+06,4.32E+06,3.41E+06,3.62E+06,3.68E+06,3.18E+06,2.61E+06,2.64E+06,4.38E+06,4.15E+06,4.26E+06,3.42E+06,3.26E+06,3.51E+06,1.93E+06,1.96E+06,2.07E+06,2.48E+06,2.33E+06,2.49E+06,7.95E+05,8.98E+05,9.45E+05,8.97E+05,2.35E+06,2.96E+06,3.47E+06,3.35E+06,3.26E+06,2.96E+06,2.96E+06,3.02E+06,2.55E+05,3.85E+05,3.80E+05,2.72E+06,1.48E+06,2.42E+06,2.49E+06,2.51E+06,2.45E+06,2.02E+05,1.95E+05,2.40E+05,4.40E+05,3.50E+05,4.52E+05,4.48E+05,4.26E+05,4.39E+05
